Voltage,Current,Porcentage
70.68,1.37,96
70.65,1.35,96
70.72,1.3,96
70.74,1.28,96
70.71,1.31,96
70.71,1.24,96
70.59,1.47,96
70.75,1.1,98
70.82,1.05,98
70.59,1.29,98
70.58,1.27,98
70.63,0.81,98
70.63,1.24,98
70.62,1.1,98
66.31,0.71,100
66.4,0.71,100
66.41,0.73,100
66.33,0.53,100
66.26,0.98,100
66.33,0.44,100
66.45,0.45,100
66.29,0.92,100
66.25,0.42,100
66.28,0.8,100
66.41,0.6,100
66.25,0.8,100
66.23,0.86,100
